image_id,task1_image_path,task1_mask_path,pigment_network_mask,negative_network_mask,streaks_mask,milia_like_cysts_mask,globules_mask
000001,Task1_Segmentation/images/000001.jpg,Task1_Segmentation/masks/000001_segmentation.png,Task2_Attributes/masks/pigment_network/000001_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000001_attribute_negative_network.png,Task2_Attributes/masks/streaks/000001_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000001_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000001_attribute_globules.png
000002,Task1_Segmentation/images/000002.jpg,Task1_Segmentation/masks/000002_segmentation.png,Task2_Attributes/masks/pigment_network/000002_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000002_attribute_negative_network.png,Task2_Attributes/masks/streaks/000002_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000002_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000002_attribute_globules.png
000003,Task1_Segmentation/images/000003.jpg,Task1_Segmentation/masks/000003_segmentation.png,Task2_Attributes/masks/pigment_network/000003_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000003_attribute_negative_network.png,Task2_Attributes/masks/streaks/000003_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000003_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000003_attribute_globules.png
000004,Task1_Segmentation/images/000004.jpg,Task1_Segmentation/masks/000004_segmentation.png,Task2_Attributes/masks/pigment_network/000004_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000004_attribute_negative_network.png,Task2_Attributes/masks/streaks/000004_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000004_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000004_attribute_globules.png
000005,Task1_Segmentation/images/000005.jpg,Task1_Segmentation/masks/000005_segmentation.png,Task2_Attributes/masks/pigment_network/000005_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000005_attribute_negative_network.png,Task2_Attributes/masks/streaks/000005_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000005_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000005_attribute_globules.png
000006,Task1_Segmentation/images/000006.jpg,Task1_Segmentation/masks/000006_segmentation.png,Task2_Attributes/masks/pigment_network/000006_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000006_attribute_negative_network.png,Task2_Attributes/masks/streaks/000006_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000006_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000006_attribute_globules.png
000007,Task1_Segmentation/images/000007.jpg,Task1_Segmentation/masks/000007_segmentation.png,Task2_Attributes/masks/pigment_network/000007_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000007_attribute_negative_network.png,Task2_Attributes/masks/streaks/000007_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000007_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000007_attribute_globules.png
000008,Task1_Segmentation/images/000008.jpg,Task1_Segmentation/masks/000008_segmentation.png,Task2_Attributes/masks/pigment_network/000008_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000008_attribute_negative_network.png,Task2_Attributes/masks/streaks/000008_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000008_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000008_attribute_globules.png
000009,Task1_Segmentation/images/000009.jpg,Task1_Segmentation/masks/000009_segmentation.png,Task2_Attributes/masks/pigment_network/000009_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000009_attribute_negative_network.png,Task2_Attributes/masks/streaks/000009_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000009_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000009_attribute_globules.png
000010,Task1_Segmentation/images/000010.jpg,Task1_Segmentation/masks/000010_segmentation.png,Task2_Attributes/masks/pigment_network/000010_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000010_attribute_negative_network.png,Task2_Attributes/masks/streaks/000010_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000010_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000010_attribute_globules.png
