image_id,pigment_network,negative_network,streaks,milia_like_cysts,globules,lesion_area_ratio,area_bin,n_attributes,no_attributes,many_attributes,tiny_lesion,huge_lesion
000001,1,0,0,0,0,0.5251236979166667,4,1,0,0,0,1
000002,1,0,1,0,0,0.009418384308510639,0,2,0,0,1,0
000003,1,0,1,0,1,0.06481004892403516,1,3,0,1,0,0
000004,1,0,0,0,0,0.054737091064453125,1,1,0,0,0,0
000005,1,1,0,0,1,0.7110546834923567,4,3,0,1,0,1
000006,0,0,0,0,0,0.007529101889955799,0,0,1,0,1,0
000007,0,0,0,0,1,0.09756103858547467,1,1,0,0,0,0
000008,0,0,0,0,1,0.030911650490524904,0,1,0,0,0,0
000009,1,0,0,0,0,0.05556449013709542,1,1,0,0,0,0
000010,0,0,0,0,0,0.17712495053050148,2,0,1,0,0,0
000011,0,0,0,0,1,0.5254640873333533,4,1,0,0,0,1
000012,0,0,0,0,0,0.209033203125,2,0,1,0,0,0
000013,1,0,0,0,0,0.13981770833333335,2,1,0,0,0,0
000014,0,0,0,0,0,0.05462353171870217,1,0,1,0,0,0
000015,1,0,1,0,0,0.011862533244680852,0,2,0,0,1,0
000016,0,0,0,0,0,0.3939697830765336,4,0,1,0,0,0
000017,0,0,0,1,0,0.05409276803307899,1,1,0,0,0,0
000018,0,0,0,0,0,0.09657267514156719,1,0,1,0,0,0
000019,0,0,0,0,0,0.03233048604734211,0,0,1,0,0,0
000020,1,0,0,0,0,0.013844414893617022,0,1,0,0,1,0
000021,0,0,0,1,1,0.04878587225389904,0,2,0,0,0,0
000022,0,0,0,0,0,0.029493481285636426,0,0,1,0,0,0
000023,1,0,0,0,0,0.3300648268868608,3,1,0,0,0,0
000024,1,0,0,1,0,0.04604221125178466,0,2,0,0,0,0
000025,1,0,0,1,0,0.8464304606119791,4,2,0,0,0,1
000026,1,0,0,0,0,0.027322705512116383,0,1,0,0,0,0
000027,0,0,0,1,0,0.03657990551106825,0,1,0,0,0,0
000028,0,1,0,0,0,0.18619791666666666,2,1,0,0,0,0
000029,0,0,0,0,0,0.15851838289241993,2,0,1,0,0,0
000030,0,0,0,1,1,0.022195465789032365,0,2,0,0,0,0
000031,1,0,0,0,0,0.2753659001103154,3,1,0,0,0,0
000032,1,0,0,0,0,0.1646092849715226,2,1,0,0,0,0
000033,0,0,0,0,0,0.028225731382978722,0,0,1,0,0,0
000034,1,0,0,0,0,0.4676869710286458,4,1,0,0,0,0
000035,0,0,1,0,0,0.15102007737293227,2,1,0,0,0,0
000036,1,0,0,1,0,0.12399037679036458,2,2,0,0,0,0
000037,0,1,0,0,0,0.2510844868647356,3,1,0,0,0,0
000038,0,0,0,1,0,0.07212379989099446,1,1,0,0,0,0
000039,1,0,0,0,0,0.6399004904110005,4,1,0,0,0,1
000040,0,0,0,0,1,0.3948191933240612,4,1,0,0,0,0
000041,1,0,0,0,0,0.011463597074468085,0,1,0,0,1,0
000042,0,0,0,0,0,0.1339194686324508,2,0,1,0,0,0
000043,1,1,0,0,1,0.1597569783528646,2,3,0,1,0,0
000044,0,0,0,0,0,0.12669177172609938,2,0,1,0,0,0
000045,1,0,0,0,1,0.009779753989361702,0,2,0,0,1,0
000046,1,0,0,0,0,0.28649308946397567,3,1,0,0,0,0
000047,0,1,0,0,1,0.22826653939706307,3,2,0,0,0,0
000048,0,0,0,1,0,0.03224081088664422,0,1,0,0,0,0
000049,1,0,0,1,0,0.64068603515625,4,2,0,0,0,1
000050,0,0,0,0,0,0.12132898966471355,2,0,1,0,0,0
000051,1,0,0,0,0,0.40905091589242976,4,1,0,0,0,0
000052,1,0,0,0,1,0.06295355703499643,1,2,0,0,0,0
000053,1,0,0,0,1,0.10904693603515625,1,2,0,0,0,0
000054,1,0,0,0,0,0.6508910604841877,4,1,0,0,0,1
000055,1,0,1,0,1,0.22772481167608286,3,3,0,1,0,0
000056,0,0,0,0,1,0.5815278407937423,4,1,0,0,0,1
000057,0,0,0,0,0,0.6695182291666667,4,0,1,0,0,1
000058,0,0,0,0,0,0.13104138962765957,2,0,1,0,0,0
000059,0,0,0,0,0,0.24843835689598,3,0,1,0,0,0
000060,1,0,0,0,0,0.4249007521233644,4,1,0,0,0,0
000061,0,0,0,0,0,0.22440338134765625,3,0,1,0,0,0
000062,1,0,0,1,0,0.03329213417637934,0,2,0,0,0,0
000063,1,0,0,0,0,0.2061286210881275,2,1,0,0,0,0
000064,1,0,0,0,0,0.05968098958333334,1,1,0,0,0,0
000065,1,1,0,0,0,0.7569205729166667,4,2,0,0,0,1
000066,0,0,0,0,0,0.09573485687619035,1,0,1,0,0,0
000067,0,0,0,0,0,0.14822916666666666,2,0,1,0,0,0
000068,0,0,1,0,1,0.6225197843332313,4,2,0,0,0,1
000069,1,0,0,0,0,0.3623650948862813,3,1,0,0,0,0
000070,1,0,0,1,0,0.6455923687205326,4,2,0,0,0,1
000071,1,0,0,0,0,0.42838216145833335,4,1,0,0,0,0
000072,0,0,0,0,0,0.14729184463042932,2,0,1,0,0,0
000073,1,0,0,0,0,0.06753695452654804,1,1,0,0,0,0
000074,1,0,0,0,0,0.5073598225911459,4,1,0,0,0,1
000075,0,0,0,0,0,0.10276301843136844,1,0,1,0,0,0
