task,image_id,attribute,image_path,mask_path,image_width,image_height,mask_width,mask_height,size_match,image_error,mask_error,status
task1,000001,,D:\Biology-AI\data\Task1_Segmentation\images\000001.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000001_segmentation.png,640,480,640,480,True,,,OK
task1,000002,,D:\Biology-AI\data\Task1_Segmentation\images\000002.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000002_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000003,,D:\Biology-AI\data\Task1_Segmentation\images\000003.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000003_segmentation.png,639,602,639,602,True,,,OK
task1,000004,,D:\Biology-AI\data\Task1_Segmentation\images\000004.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000004_segmentation.png,1024,768,1024,768,True,,,OK
task1,000005,,D:\Biology-AI\data\Task1_Segmentation\images\000005.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000005_segmentation.png,722,540,722,540,True,,,OK
task1,000006,,D:\Biology-AI\data\Task1_Segmentation\images\000006.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000006_segmentation.png,2592,1944,2592,1944,True,,,OK
task1,000007,,D:\Biology-AI\data\Task1_Segmentation\images\000007.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000007_segmentation.png,6688,4459,6688,4459,True,,,OK
task1,000008,,D:\Biology-AI\data\Task1_Segmentation\images\000008.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000008_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000009,,D:\Biology-AI\data\Task1_Segmentation\images\000009.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000009_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000010,,D:\Biology-AI\data\Task1_Segmentation\images\000010.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000010_segmentation.png,1504,1129,1504,1129,True,,,OK
task1,000011,,D:\Biology-AI\data\Task1_Segmentation\images\000011.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000011_segmentation.png,919,802,919,802,True,,,OK
task1,000012,,D:\Biology-AI\data\Task1_Segmentation\images\000012.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000012_segmentation.png,640,480,640,480,True,,,OK
task1,000013,,D:\Biology-AI\data\Task1_Segmentation\images\000013.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000013_segmentation.png,640,480,640,480,True,,,OK
task1,000014,,D:\Biology-AI\data\Task1_Segmentation\images\000014.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000014_segmentation.png,2592,1936,2592,1936,True,,,OK
task1,000015,,D:\Biology-AI\data\Task1_Segmentation\images\000015.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000015_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000016,,D:\Biology-AI\data\Task1_Segmentation\images\000016.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000016_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000017,,D:\Biology-AI\data\Task1_Segmentation\images\000017.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000017_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000018,,D:\Biology-AI\data\Task1_Segmentation\images\000018.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000018_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,000019,,D:\Biology-AI\data\Task1_Segmentation\images\000019.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000019_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,000020,,D:\Biology-AI\data\Task1_Segmentation\images\000020.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000020_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000021,,D:\Biology-AI\data\Task1_Segmentation\images\000021.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000021_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000022,,D:\Biology-AI\data\Task1_Segmentation\images\000022.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000022_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000023,,D:\Biology-AI\data\Task1_Segmentation\images\000023.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000023_segmentation.png,767,576,767,576,True,,,OK
task1,000024,,D:\Biology-AI\data\Task1_Segmentation\images\000024.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000024_segmentation.png,3024,2016,3024,2016,True,,,OK
task1,000025,,D:\Biology-AI\data\Task1_Segmentation\images\000025.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000025_segmentation.png,1024,768,1024,768,True,,,OK
task1,000026,,D:\Biology-AI\data\Task1_Segmentation\images\000026.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000026_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000027,,D:\Biology-AI\data\Task1_Segmentation\images\000027.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000027_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000028,,D:\Biology-AI\data\Task1_Segmentation\images\000028.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000028_segmentation.png,1024,768,1024,768,True,,,OK
task1,000029,,D:\Biology-AI\data\Task1_Segmentation\images\000029.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000029_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000030,,D:\Biology-AI\data\Task1_Segmentation\images\000030.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000030_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000031,,D:\Biology-AI\data\Task1_Segmentation\images\000031.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000031_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000032,,D:\Biology-AI\data\Task1_Segmentation\images\000032.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000032_segmentation.png,959,723,959,723,True,,,OK
task1,000033,,D:\Biology-AI\data\Task1_Segmentation\images\000033.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000033_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000034,,D:\Biology-AI\data\Task1_Segmentation\images\000034.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000034_segmentation.png,1024,768,1024,768,True,,,OK
task1,000035,,D:\Biology-AI\data\Task1_Segmentation\images\000035.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000035_segmentation.png,6682,4382,6682,4382,True,,,OK
