dataset,file_path,readable,format,mode,mode_is_rgb,width,height,pixel_min,pixel_max,pixel_mean,pixel_std,all_black,all_white,near_uniform,error
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000001.jpg,True,JPEG,RGB,True,640,480,0.0,252.0,136.50318908691406,52.939964294433594,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000002.jpg,True,JPEG,RGB,True,3008,2000,0.0,222.0,134.15139770507812,29.67377471923828,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000003.jpg,True,JPEG,RGB,True,639,602,11.0,227.0,183.86459350585938,28.202423095703125,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000004.jpg,True,JPEG,RGB,True,1024,768,0.0,246.0,191.75083923339844,27.501689910888672,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000005.jpg,True,JPEG,RGB,True,722,540,0.0,255.0,136.6837158203125,76.8838882446289,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000006.jpg,True,JPEG,RGB,True,2592,1944,12.0,195.0,124.32801818847656,18.20502471923828,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000007.jpg,True,JPEG,RGB,True,6688,4459,0.0,255.0,142.9993133544922,57.426815032958984,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000008.jpg,True,JPEG,RGB,True,4288,2848,7.0,255.0,166.659423828125,28.90719985961914,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000009.jpg,True,JPEG,RGB,True,4288,2848,9.0,245.0,174.07977294921875,26.535959243774414,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000010.jpg,True,JPEG,RGB,True,1504,1129,0.0,255.0,154.888427734375,30.12204360961914,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000011.jpg,True,JPEG,RGB,True,919,802,12.0,244.0,165.17626953125,32.8408317565918,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000012.jpg,True,JPEG,RGB,True,640,480,0.0,211.0,104.54034423828125,37.96915817260742,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000013.jpg,True,JPEG,RGB,True,640,480,0.0,255.0,180.73995971679688,38.80040740966797,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000014.jpg,True,JPEG,RGB,True,2592,1936,0.0,255.0,163.1151885986328,48.35944747924805,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000015.jpg,True,JPEG,RGB,True,3008,2000,3.0,255.0,170.85997009277344,15.097633361816406,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000016.jpg,True,JPEG,RGB,True,3072,2304,8.0,255.0,134.24917602539062,33.99711608886719,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000017.jpg,True,JPEG,RGB,True,4288,2848,10.0,237.0,151.54598999023438,24.563507080078125,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000018.jpg,True,JPEG,RGB,True,3872,2592,14.0,255.0,216.03067016601562,23.75225067138672,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000019.jpg,True,JPEG,RGB,True,3872,2592,36.0,255.0,197.07086181640625,31.834684371948242,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000020.jpg,True,JPEG,RGB,True,3008,2000,0.0,253.0,112.53575897216797,27.763797760009766,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000021.jpg,True,JPEG,RGB,True,4288,2848,34.0,255.0,158.76705932617188,24.28592300415039,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000022.jpg,True,JPEG,RGB,True,4288,2848,0.0,244.0,129.49539184570312,32.99515151977539,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000023.jpg,True,JPEG,RGB,True,767,576,0.0,255.0,167.4740753173828,66.04864501953125,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000024.jpg,True,JPEG,RGB,True,3024,2016,0.0,240.0,154.8724822998047,19.79163360595703,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000025.jpg,True,JPEG,RGB,True,1024,768,0.0,238.0,148.89584350585938,26.91693878173828,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000026.jpg,True,JPEG,RGB,True,4288,2848,13.0,249.0,127.98531341552734,30.520532608032227,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000027.jpg,True,JPEG,RGB,True,4288,2848,19.0,255.0,188.99070739746094,24.598312377929688,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000028.jpg,True,JPEG,RGB,True,1024,768,0.0,233.0,157.37315368652344,32.89153289794922,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000029.jpg,True,JPEG,RGB,True,4288,2848,12.0,232.0,125.95056915283203,18.239479064941406,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000030.jpg,True,JPEG,RGB,True,4288,2848,10.0,255.0,151.26463317871094,24.026626586914062,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000031.jpg,True,JPEG,RGB,True,3072,2304,10.0,237.0,170.75502014160156,50.235008239746094,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000032.jpg,True,JPEG,RGB,True,959,723,0.0,255.0,185.0892333984375,67.5016860961914,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000033.jpg,True,JPEG,RGB,True,3008,2000,5.0,255.0,136.9033660888672,49.69243621826172,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000034.jpg,True,JPEG,RGB,True,1024,768,15.0,235.0,155.23207092285156,28.160839080810547,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000035.jpg,True,JPEG,RGB,True,6682,4382,0.0,255.0,148.65997314453125,44.5291862487793,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000036.jpg,True,JPEG,RGB,True,1024,768,0.0,254.0,138.97756958007812,23.48257827758789,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000037.jpg,True,JPEG,RGB,True,6668,4439,0.0,255.0,170.88168334960938,42.52780532836914,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000038.jpg,True,JPEG,RGB,True,4288,2848,9.0,255.0,150.7181854248047,19.2673397064209,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000039.jpg,True,JPEG,RGB,True,6668,4459,0.0,255.0,126.15994262695312,56.081443786621094,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000040.jpg,True,JPEG,RGB,True,824,719,0.0,251.0,145.54757690429688,39.98101043701172,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000041.jpg,True,JPEG,RGB,True,3008,2000,4.0,255.0,165.33731079101562,21.17064094543457,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000042.jpg,True,JPEG,RGB,True,3072,2304,0.0,255.0,117.45389556884766,48.24738311767578,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000043.jpg,True,JPEG,RGB,True,3072,2304,18.0,255.0,134.5188751220703,40.17584228515625,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000044.jpg,True,JPEG,RGB,True,3872,2592,4.0,255.0,157.7397918701172,34.65388107299805,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000045.jpg,True,JPEG,RGB,True,3008,2000,6.0,255.0,187.49464416503906,21.834487915039062,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000046.jpg,True,JPEG,RGB,True,3072,2304,12.0,255.0,147.53909301757812,36.24382400512695,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000047.jpg,True,JPEG,RGB,True,3072,2304,0.0,255.0,161.74945068359375,34.57590103149414,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000048.jpg,True,JPEG,RGB,True,3872,2592,8.0,255.0,170.3157501220703,25.976572036743164,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000049.jpg,True,JPEG,RGB,True,1024,768,77.0,249.0,160.31602478027344,26.12285614013672,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000050.jpg,True,JPEG,RGB,True,1024,768,0.0,243.0,132.50030517578125,28.977989196777344,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000051.jpg,True,JPEG,RGB,True,1504,1129,0.0,255.0,144.25674438476562,35.835262298583984,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000052.jpg,True,JPEG,RGB,True,2592,3872,21.0,255.0,168.69476318359375,17.323850631713867,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000053.jpg,True,JPEG,RGB,True,2048,1536,0.0,255.0,133.287353515625,41.2974853515625,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000054.jpg,True,JPEG,RGB,True,6680,4422,0.0,255.0,105.77719116210938,57.5055046081543,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000055.jpg,True,JPEG,RGB,True,767,576,0.0,255.0,175.7821502685547,61.890018463134766,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000056.jpg,True,JPEG,RGB,True,6642,4420,0.0,255.0,103.87310791015625,73.69878387451172,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000057.jpg,True,JPEG,RGB,True,640,480,0.0,255.0,138.31915283203125,49.014652252197266,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000058.jpg,True,JPEG,RGB,True,3008,2000,13.0,255.0,182.42098999023438,23.180761337280273,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000059.jpg,True,JPEG,RGB,True,3872,2592,6.0,240.0,163.49417114257812,22.496795654296875,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000060.jpg,True,JPEG,RGB,True,824,719,0.0,255.0,162.06362915039062,39.623260498046875,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000061.jpg,True,JPEG,RGB,True,2048,1536,29.0,255.0,164.76541137695312,34.45627212524414,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000062.jpg,True,JPEG,RGB,True,4288,2848,14.0,250.0,145.54176330566406,27.875350952148438,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000063.jpg,True,JPEG,RGB,True,6668,4439,0.0,255.0,183.41004943847656,46.6430778503418,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000064.jpg,True,JPEG,RGB,True,640,480,0.0,244.0,140.32546997070312,47.88425064086914,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000065.jpg,True,JPEG,RGB,True,640,480,0.0,208.0,78.69856262207031,42.3602409362793,False,False,False,
task1_images,D:\Biology-AI\data\Task1_Segmentation\images\000066.jpg,True,JPEG,RGB,True,6688,4419,0.0,255.0,172.70558166503906,41.60394287109375,False,False,False,
