image_id,task1_path,task2_path,task1_exists,task2_exists,same_content,error
000001,D:\Biology-AI\data\Task1_Segmentation\images\000001.jpg,D:\Biology-AI\data\Task2_Attributes\images\000001.jpg,True,True,True,
000002,D:\Biology-AI\data\Task1_Segmentation\images\000002.jpg,D:\Biology-AI\data\Task2_Attributes\images\000002.jpg,True,True,True,
000003,D:\Biology-AI\data\Task1_Segmentation\images\000003.jpg,D:\Biology-AI\data\Task2_Attributes\images\000003.jpg,True,True,True,
000004,D:\Biology-AI\data\Task1_Segmentation\images\000004.jpg,D:\Biology-AI\data\Task2_Attributes\images\000004.jpg,True,True,True,
000005,D:\Biology-AI\data\Task1_Segmentation\images\000005.jpg,D:\Biology-AI\data\Task2_Attributes\images\000005.jpg,True,True,True,
000006,D:\Biology-AI\data\Task1_Segmentation\images\000006.jpg,D:\Biology-AI\data\Task2_Attributes\images\000006.jpg,True,True,True,
000007,D:\Biology-AI\data\Task1_Segmentation\images\000007.jpg,D:\Biology-AI\data\Task2_Attributes\images\000007.jpg,True,True,True,
000008,D:\Biology-AI\data\Task1_Segmentation\images\000008.jpg,D:\Biology-AI\data\Task2_Attributes\images\000008.jpg,True,True,True,
000009,D:\Biology-AI\data\Task1_Segmentation\images\000009.jpg,D:\Biology-AI\data\Task2_Attributes\images\000009.jpg,True,True,True,
000010,D:\Biology-AI\data\Task1_Segmentation\images\000010.jpg,D:\Biology-AI\data\Task2_Attributes\images\000010.jpg,True,True,True,
000011,D:\Biology-AI\data\Task1_Segmentation\images\000011.jpg,D:\Biology-AI\data\Task2_Attributes\images\000011.jpg,True,True,True,
000012,D:\Biology-AI\data\Task1_Segmentation\images\000012.jpg,D:\Biology-AI\data\Task2_Attributes\images\000012.jpg,True,True,True,
000013,D:\Biology-AI\data\Task1_Segmentation\images\000013.jpg,D:\Biology-AI\data\Task2_Attributes\images\000013.jpg,True,True,True,
