image_id,attribute,mask_path,readable,width,height,mode,unique_value_count,unique_values,binary_values,foreground_pixels,total_pixels,foreground_ratio,empty_mask,full_mask,connected_components,largest_component_fraction,touches_image_border,error,lesion_attribute_size_match,outside_lesion_pixels,outside_lesion_fraction,status
000001,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000001_attribute_pigment_network.png,True,640,480,L,2,"0,255",True,39096,307200,0.127265625,False,False,2,0.5419224473091876,True,,True,416,0.010640474728872518,OK
000002,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000002_attribute_pigment_network.png,True,3008,2000,L,2,"0,255",True,35979,6016000,0.005980551861702128,False,False,1,1.0,False,,True,1106,0.030740153978709803,OK
000003,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000003_attribute_pigment_network.png,True,639,602,L,2,"0,255",True,10036,384678,0.026089352653388027,False,False,2,0.5078716620167397,False,,True,359,0.03577122359505779,OK
000004,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000004_attribute_pigment_network.png,True,1024,768,L,2,"0,255",True,18946,786432,0.024091084798177082,False,False,1,1.0,False,,True,119,0.006281009183996622,OK
000005,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000005_attribute_pigment_network.png,True,722,540,L,2,"0,255",True,19737,389880,0.05062326869806094,False,False,5,0.6761412575366064,True,,True,34,0.0017226528854435831,OK
000006,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000006_attribute_pigment_network.png,True,2592,1944,L,1,0,True,0,5038848,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000007,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000007_attribute_pigment_network.png,True,6688,4459,L,1,0,True,0,29821792,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000008,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000008_attribute_pigment_network.png,True,4288,2848,L,1,0,True,0,12212224,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000009,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000009_attribute_pigment_network.png,True,4288,2848,L,2,"0,255",True,22009,12212224,0.0018022106374727487,False,False,1,1.0,False,,True,0,0.0,OK
000010,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000010_attribute_pigment_network.png,True,1504,1129,L,1,0,True,0,1698016,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000011,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000011_attribute_pigment_network.png,True,919,802,L,1,0,True,0,737038,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000012,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000012_attribute_pigment_network.png,True,640,480,L,1,0,True,0,307200,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000013,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000013_attribute_pigment_network.png,True,640,480,L,2,"0,255",True,6201,307200,0.020185546875,False,False,2,0.8237381067569747,False,,True,0,0.0,OK
000014,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000014_attribute_pigment_network.png,True,2592,1936,L,1,0,True,0,5018112,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000015,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000015_attribute_pigment_network.png,True,3008,2000,L,2,"0,255",True,66963,6016000,0.011130817819148936,False,False,1,1.0,False,,True,2313,0.034541463196093365,OK
000016,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000016_attribute_pigment_network.png,True,3072,2304,L,1,0,True,0,7077888,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000017,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000017_attribute_pigment_network.png,True,4288,2848,L,1,0,True,0,12212224,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000018,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000018_attribute_pigment_network.png,True,3872,2592,L,1,0,True,0,10036224,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000019,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000019_attribute_pigment_network.png,True,3872,2592,L,1,0,True,0,10036224,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000020,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000020_attribute_pigment_network.png,True,3008,2000,L,2,"0,255",True,30886,6016000,0.005133976063829787,False,False,1,1.0,False,,True,0,0.0,OK
000021,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000021_attribute_pigment_network.png,True,4288,2848,L,1,0,True,0,12212224,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000022,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000022_attribute_pigment_network.png,True,4288,2848,L,1,0,True,0,12212224,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000023,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000023_attribute_pigment_network.png,True,767,576,L,2,"0,255",True,39378,441792,0.08913244241634072,False,False,1,1.0,False,,True,802,0.020366702219513436,OK
000024,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000024_attribute_pigment_network.png,True,3024,2016,L,2,"0,255",True,70596,6096384,0.011579979213907785,False,False,2,0.5326505751034053,False,,True,0,0.0,OK
000025,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000025_attribute_pigment_network.png,True,1024,768,L,2,"0,255",True,152948,786432,0.19448343912760416,False,False,7,0.8100203990898868,True,,True,0,0.0,OK
000026,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000026_attribute_pigment_network.png,True,4288,2848,L,2,"0,255",True,145188,12212224,0.011888743606406172,False,False,3,0.7182825026861724,False,,True,142587,0.9820852963054798,attribute_outside_lesion
000027,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000027_attribute_pigment_network.png,True,4288,2848,L,1,0,True,0,12212224,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000028,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000028_attribute_pigment_network.png,True,1024,768,L,1,0,True,0,786432,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000029,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000029_attribute_pigment_network.png,True,4288,2848,L,1,0,True,0,12212224,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000030,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000030_attribute_pigment_network.png,True,4288,2848,L,1,0,True,0,12212224,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000031,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000031_attribute_pigment_network.png,True,3072,2304,L,2,"0,255",True,1243003,7077888,0.17561778315791376,False,False,1,1.0,False,,True,0,0.0,OK
000032,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000032_attribute_pigment_network.png,True,959,723,L,2,"0,255",True,40708,693357,0.05871145744544297,False,False,2,0.9624643804657561,False,,True,690,0.016949985260882382,OK
000033,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000033_attribute_pigment_network.png,True,3008,2000,L,1,0,True,0,6016000,0.0,True,False,0,0.0,False,,True,0,0.0,OK
000034,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000034_attribute_pigment_network.png,True,1024,768,L,2,"0,255",True,24342,786432,0.03095245361328125,False,False,7,0.45813819735436695,False,,True,0,0.0,OK
000035,pigment_network,D:\Biology-AI\data\Task2_Attributes\masks\pigment_network\000035_attribute_pigment_network.png,True,6682,4382,L,1,0,True,0,29280524,0.0,True,False,0,0.0,False,,True,0,0.0,OK
