image_id,fold,development_role,duplicate_group_id,duplicate_group_size,image_sha256,task1_lesion_area_ratio,task1_area_bin,task1_empty_mask,task1_full_mask,attribute_count,no_attribute_present,multiple_attributes_present,pigment_network_present,pigment_network_foreground_pixels,pigment_network_area_ratio,negative_network_present,negative_network_foreground_pixels,negative_network_area_ratio,streaks_present,streaks_foreground_pixels,streaks_area_ratio,milia_like_cysts_present,milia_like_cysts_foreground_pixels,milia_like_cysts_area_ratio,globules_present,globules_foreground_pixels,globules_area_ratio,task1_area_bin_0,task1_area_bin_1,task1_area_bin_2,task1_area_bin_3
000001,2,train,image_group_000148,1,0f297b39aadc13c70ec932d58f79bd23a6093017a1df65288ee4ddabed71e9f2,0.5251236979166667,3,0,0,1,0,0,1,39096,0.127265625,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1
000002,0,val,image_group_001192,1,70f96fe73db9c121b669afc1b02731ed5d636d883ac4a362394faf4b9ad7c08c,0.009418384308510639,0,0,0,2,0,1,1,35979,0.005980551861702128,0,0,0.0,1,63372,0.010533909574468085,0,0,0.0,0,0,0.0,1,0,0,0
000003,2,train,image_group_002118,1,c794f37d94f1706648921c4ed5179809a1dbb93ff87e13016359e7b4abb28bd1,0.06481004892403516,1,0,0,3,0,1,1,10036,0.026089352653388027,0,0,0.0,1,1615,0.004198316514071509,0,0,0.0,1,921,0.0023942102225757646,0,1,0,0
000004,0,val,image_group_001787,1,a719123ccaaa16e6dbc0f27d610896b1fb50dfd758268962e4042214ea7450ca,0.054737091064453125,0,0,0,1,0,0,1,18946,0.024091084798177082,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,0
000005,3,train,image_group_001341,1,7db634ba3ae2ee1e4a72d548713df017cb7919489978f680563ae19abea07da7,0.7110546834923567,3,0,0,3,0,1,1,19737,0.05062326869806094,1,55821,0.14317482302246845,0,0,0.0,0,0,0.0,1,4435,0.01137529496255258,0,0,0,1
000006,0,val,image_group_002606,1,f6e9eea04aca5d237040c638b0572ee9398c13813c50b38eb317d0dc2702f829,0.007529101889955799,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,0
000007,4,train,image_group_000249,1,16ccec0cf5610418ebbf0a10b11405874719405f4862c832fb9e7d09472cd060,0.09756103858547467,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,199292,0.006682764067296828,0,1,0,0
000008,2,train,image_group_000425,1,29d50118640f03afc09a971a1374aba206cca4cdaeb6a66355580152e0cea285,0.030911650490524904,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,151441,0.012400771554796243,1,0,0,0
000009,4,train,image_group_002312,1,db0712e73d5c12d9cc72b1b4bbe664318d1600b55e410c5892e8cf5c84ef374d,0.05556449013709542,0,0,0,1,0,0,1,22009,0.0018022106374727487,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,0
000010,4,train,image_group_002426,1,e601d5639eb643aeea024bc6fb535a1d48508c941f92472449bb683cb2929b08,0.17712495053050148,2,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0
000011,4,train,image_group_002340,1,de1e1313a0723d2716ace89b4c8e922a31843c723de0c27a069a639b05833fe1,0.5254640873333533,3,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,11979,0.0162528933379283,0,0,0,1
000012,4,train,image_group_000380,1,25a4e56b050e59fd3ff38ce4791041abaca0401178fb7e4550de5ae42189db63,0.209033203125,2,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0
000013,4,train,image_group_000074,1,07cffb53c5cfc798fb9cfb2445887b5d67d15b4e0f14a5dc31c9231919872d35,0.13981770833333335,1,0,0,1,0,0,1,6201,0.020185546875,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0
000014,4,train,image_group_001331,1,7c9255aca6b58fcf157734ad3035811165c3d5a7a191e33852e705f94b282d9f,0.05462353171870217,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,0
